제목,kyobo_순위,kyobo_저자,kyobo_출판사,kyobo_발매일,kyobo_가격,kyobo_평점,kyobo_장르,상명대학교_학술정보관_장르
Do it! 알고리즘 코딩 테스트 - 자바 편,39,김종관,이지스퍼블리싱,2022.04.01 (종이책 출간 2022.04.05),"19,800",9,IT/프로그래밍,IT/프로그래밍
Do it! 클론 코딩 영화 평점 웹서비스,40,니꼴라스,이지스퍼블리싱,2020.05.27 (종이책 출간 2020.05.19),"9,000",9.2,IT/프로그래밍,IT/프로그래밍
된다! 파워포인트 실무의 신 : 한 번 배우면 평생 시간 버는 입문서,41,김지훈,이지스퍼블리싱,2019.12.20 (종이책 출간 2019.11.28),"12,150",9.8,IT/프로그래밍,IT/프로그래밍
혼자 공부하는 파이썬,42,윤인성,한빛미디어,2022.05.25 (종이책 출간 2022.06.01),"15,840",9.8,IT/프로그래밍,IT/프로그래밍
"스토리텔링 우동이즘의 잘 팔리는 웹툰, 웹소설 이야기 만들기",43,우동이즘(이동우),한빛미디어,2021.11.15 (종이책 출간 2021.11.15),"11,520",8.8,IT/프로그래밍,IT/프로그래밍
"일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기",44,강남석,한빛미디어,2021.05.17 (종이책 출간 2021.05.07),"20,160",9.4,IT/프로그래밍,IT/프로그래밍
처음 배우는 애저,45,김도균,한빛미디어,2020.12.28 (종이책 출간 2020.12.23),"24,480",9.4,IT/프로그래밍,IT/프로그래밍
밑바닥부터 시작하는 딥러닝. 3,46,사이토 고키,한빛미디어,2020.11.30 (종이책 출간 2020.11.10),"27,360",9.7,IT/프로그래밍,IT/프로그래밍
웹어셈블리 인 액션,47,제러드 갤런트,한빛미디어,2020.10.05 (종이책 출간 2020.10.05),"27,360",8.8,IT/프로그래밍,IT/프로그래밍
퀀트 전략을 위한 인공지능 트레이딩,48,김태헌,한빛미디어,2020.08.28 (종이책 출간 2020.08.20),"20,160",8.9,IT/프로그래밍,IT/프로그래밍
스위프트 프로그래밍: Swift 5,49,야곰,한빛미디어,2019.10.29 (종이책 출간 2019.10.01),"23,040",9.1,IT/프로그래밍,IT/프로그래밍
엑셀 매크로&VBA 바이블,50,최준선,한빛미디어,2019.10.29 (종이책 출간 2019.09.10),"32,400",9.9,IT/프로그래밍,IT/프로그래밍
OpenCV 4로 배우는 컴퓨터 비전과 머신 러닝,51,황선규,길벗,2019.05.08 (종이책 출간 2019.04.12),"26,460",9.6,IT/프로그래밍,IT/프로그래밍
모두의 알고리즘 with 파이썬,52,이승찬,길벗,2017.06.23 (종이책 출간 2017.05.18),"10,080",9.3,IT/프로그래밍,IT/프로그래밍
코어 자바스크립트,53,정재남,위키북스,2020.02.07 (종이책 출간 2019.09.10),"13,860",9.7,IT/프로그래밍,IT/프로그래밍
컴파일러의 이해,54,박두순,한빛아카데미,2021.06.28 (종이책 출간 2020.02.20),"24,300",8.5,IT/프로그래밍,IT/프로그래밍
C++ 프로그래밍,55,김화수,한빛아카데미,2021.06.28 (종이책 출간 2017.12.22),"25,200",9.5,IT/프로그래밍,IT/프로그래밍
[epub3.0]케라스 창시자에게 배우는 딥러닝 개정 2판,56,프랑소와 숄레,길벗,2022.09.02 (종이책 출간 2022.08.30),"34,560",9.8,IT/프로그래밍,IT/프로그래밍
모두의 구글 애널리틱스4,57,김도연,길벗,2023.02.15 (종이책 출간 2023.01.25),"20,160",0,IT/프로그래밍,IT/프로그래밍
맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2023,58,김덕영,한빛미디어,2023.02.13 (종이책 출간 2023.02.06),"17,280",8.8,IT/프로그래밍,IT/프로그래밍
두들낙서의 C/C++ 한꺼번에 배우기,59,최지훈,위키북스,2023.02.01 (종이책 출간 2021.06.04),"17,010",0,IT/프로그래밍,IT/프로그래밍
포토샵&일러스트레이터 CC 2023 무작정 따라하기,60,"문수민,앤미디어,민지영",길벗,2023.01.28 (종이책 출간 2023.01.20),"16,560",10,IT/프로그래밍,IT/프로그래밍
비전공이지만 개발자로 먹고삽니다,61,반병현,생능북스,2023.01.12 (종이책 출간 2023.01.02),"13,680",9.9,IT/프로그래밍,IT/프로그래밍
혼자 공부하는 데이터 분석 with 파이썬,62,박해선,한빛미디어,2023.01.09 (종이책 출간 2023.01.02),"18,720",9.9,IT/프로그래밍,IT/프로그래밍
직장인을 위한 실무 엑셀,63,선양미,길벗,2023.02.03 (종이책 출간 2022.12.12),"15,120",10,IT/프로그래밍,IT/프로그래밍
규칙으로 배우는 임베디드 시스템: CPU 이론 및 펌웨어 개발 규칙,64,장선웅,북랩,2022.12.25 (종이책 출간 2022.11.25),"11,340",0,IT/프로그래밍,IT/프로그래밍
데이터를 엮는 사람들 데이터 과학자,65,권정민,비제이퍼블릭,2023.01.11 (종이책 출간 2023.01.11),"11,880",0,IT/프로그래밍,IT/프로그래밍
파워포인트 2019,66,김지연,한빛아카데미,2022.12.20 (종이책 출간 2023.01.01),"18,000",0,IT/프로그래밍,IT/프로그래밍
Do it! 게임 10개 만들며 배우는 파이썬,67,벤 포터,이지스퍼블리싱,2022.12.20,"13,500",10,IT/프로그래밍,IT/프로그래밍
누구나 할 수 있는 유니티 2D 게임 제작,68,STUDIO SHIN,제이펍,2022.12.09 (종이책 출간 2022.10.04),"18,270",8.7,IT/프로그래밍,IT/프로그래밍
UX/UI 디자이너를 위한 실무 피그마,69,클레어 정,한빛미디어,2022.11.07 (종이책 출간 2022.11.01),"18,720",10,IT/프로그래밍,IT/프로그래밍
2023 유선배 SQL개발자(SQLD) 과외노트,70,정미나,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"14,490",10,IT/프로그래밍,IT/프로그래밍
스프링 시큐리티 인 액션,71,로렌티우 스필카,위키북스,2022.10.10 (종이책 출간 2022.08.31),"22,500",9.8,IT/프로그래밍,IT/프로그래밍
사물인터넷을 위한 리눅스 프로그래밍 with 라즈베리 파이,72,서영진,제이펍,2022.09.27 (종이책 출간 2020.03.06),"23,940",9.7,IT/프로그래밍,IT/프로그래밍
Python Automation Cookbook Second Edition,73,Jaime Buelta,Packt(GCO Science),2020.05.29,"17,100",0,IT/프로그래밍,IT/프로그래밍
성공하는 프로그래밍 공부법,74,박재성,로드북,2020.06.05 (종이책 출간 2018.09.10),"12,240",9.2,IT/프로그래밍,IT/프로그래밍
디자인 굿즈 만들기 with 포토샵&일러스트레이터,75,김신애,한빛미디어,2017.01.12 (종이책 출간 2016.11.01),"13,860",8.6,IT/프로그래밍,IT/프로그래밍
가상 면접 사례로 배우는 대규모 시스템 설계 기초,76,알렉스 쉬,인사이트,2021.08.25 (종이책 출간 2021.07.28),"17,280",9.7,IT/프로그래밍,IT/프로그래밍
함께 자라기,77,김창준,인사이트,2020.06.25 (종이책 출간 2018.11.30),"9,000",9.9,IT/프로그래밍,IT/프로그래밍
Clean Code(클린 코드),78,로버트 C. 마틴,인사이트,2020.08.11 (종이책 출간 2013.12.24),"23,760",9.8,IT/프로그래밍,IT/프로그래밍
코드 한 줄 없이 시작하는 MicroSoft RPA 파워 오토메이트,79,김성준,프리렉,2022.06.20 (종이책 출간 2022.01.24),"16,380",9.8,IT/프로그래밍,IT/프로그래밍
스프링 부트와 AWS로 혼자 구현하는 웹 서비스,80,이동욱,프리렉,2020.11.13 (종이책 출간 2019.11.29),"13,860",9.4,IT/프로그래밍,IT/프로그래밍
"프로그래머, 수학으로 생각하라",81,유키 히로시,프리렉,2018.07.13 (종이책 출간 2018.07.02),"12,600",9.4,IT/프로그래밍,IT/프로그래밍
큐베이스 Pro 9,82,박영권,글로벌,2018.05.17 (종이책 출간 2016.04.30),"24,300",10,IT/프로그래밍,IT/프로그래밍
파이썬으로 챗봇 만들기,83,Sumit Raj,영진닷컴,2021.04.02 (종이책 출간 2020.11.20),"12,600",9.7,IT/프로그래밍,IT/프로그래밍
게임 서버 프로그래밍 입문,84,김동성,퍼플,2015.03.26,"8,910",9.2,IT/프로그래밍,IT/프로그래밍
UX 기획의 기술,85,케빈 C. 브라운,유엑스리뷰(UX REVIEW),2022.09.02 (종이책 출간 2022.02.07),"27,000",9.1,IT/프로그래밍,IT/프로그래밍
Must Have 텐초의 파이토치 딥러닝 특강,86,이종민(텐초),골든래빗(주),2022.07.28 (종이책 출간 2022.08.12),"21,600",8.6,IT/프로그래밍,IT/프로그래밍
쏙쏙 들어오는 함수형 코딩,87,에릭 노먼드,제이펍,2022.06.23 (종이책 출간 2022.04.22),"22,050",9.2,IT/프로그래밍,IT/프로그래밍
"도커, 컨테이너 빌드업!",88,이현룡,제이펍,2022.03.24 (종이책 출간 2021.12.27),"17,640",10,IT/프로그래밍,IT/프로그래밍
이베이 & 아마존 해외 역직구 셀링,89,로꾸미(윤규미),제이펍,2021.07.26 (종이책 출간 2021.02.01),"13,860",9.4,IT/프로그래밍,IT/프로그래밍
인스타그램 마케팅을 위한 상품 사진의 비밀 37,90,6151,제이펍,2021.12.16 (종이책 출간 2020.02.29),"9,450",8.7,IT/프로그래밍,IT/프로그래밍
영상 편집을 위한 유튜브 배경음악,91,오렌지노,제이펍,2020.03.28 (종이책 출간 2019.10.24),"11,340",9.6,IT/프로그래밍,IT/프로그래밍
아마존 웹 서비스 부하 테스트 입문,92,나카가와 타루하치,제이펍,2021.07.26 (종이책 출간 2018.09.27),"20,160",9.2,IT/프로그래밍,IT/프로그래밍
마스터 알고리즘,93,페드로 도밍고스,비즈니스북스,2016.07.14 (종이책 출간 2016.07.30),"13,860",9.3,IT/프로그래밍,IT/프로그래밍
혼자 해도 프로 작가처럼 잘 그리는 아이패드 드로잉 with 프로크리에이트,94,빨간고래(박정아),한빛미디어,2022.06.30 (종이책 출간 2022.06.27),"15,840",9.2,IT/프로그래밍,IT/프로그래밍
차세대 빅데이터 플랫폼 Data Lake,95,윤선웅,좋은땅,2021.06.11 (종이책 출간 2021.04.23),"13,500",10,IT/프로그래밍,IT/프로그래밍
쉽고 빠른 플러터 앱 개발,96,권태형,비제이퍼블릭,2022.05.10 (종이책 출간 2022.04.28),"21,600",7.9,IT/프로그래밍,IT/프로그래밍
프로그래머가 알아야 할 알고리즘 40,97,임란 아마드,길벗,2022.05.27 (종이책 출간 2022.04.29),"17,280",9.1,IT/프로그래밍,IT/프로그래밍
[epub3.0]C# 교과서,98,박용준,길벗,2020.06.10 (종이책 출간 2020.05.30),"18,900",9.2,IT/프로그래밍,IT/프로그래밍
Do it! BERT와 GPT로 배우는 자연어 처리 : 트랜스포머 핵심 원리와 허깅페이스 패키지 활용법,99,이기창,이지스퍼블리싱,2021.12.01 (종이책 출간 2021.12.01),"12,600",10,IT/프로그래밍,IT/프로그래밍
Do it! 자바 완전 정복,100,김동형,이지스퍼블리싱,2021.09.02 (종이책 출간 2021.09.01),"18,000",9.5,IT/프로그래밍,IT/프로그래밍
초인생활 해설,1,조기형,지오출판사,2022.09.28,"13,500",10,건강/의학,건강/의학
식사가 잘못됐습니다 2 실천편,2,마키타 젠지,더난출판사,2021.02.02 (종이책 출간 2020.12.24),"9,450",10,건강/의학,건강/의학
나는 당신이 오래오래 걸었으면 좋겠습니다,3,다나카 나오키,포레스트북스,2018.05.23 (종이책 출간 2018.05.21),"8,550",9.5,건강/의학,건강/의학
고통의 비밀,4,몬티 라이먼,상상스퀘어,2022.11.09 (종이책 출간 2022.11.09),"11,907",9.7,건강/의학,건강/의학
열방약국 유방암 상담소,5,김훈하,리더북스,2022.06.15,"9,000",10,건강/의학,건강/의학
하루 5분만 움직여도 고혈압은 낫는다,6,가토 마사토시,더난출판사,2018.01.11 (종이책 출간 2018.01.10),"8,190",9.4,건강/의학,건강/의학
피톨로지 피트니스 영양학,7,이호욱,예문당,2021.09.23 (종이책 출간 2021.09.23),"9,900",8.6,건강/의학,건강/의학
염증 없는 식사,8,닥터 윌 콜,테이스트북스,2021.06.03 (종이책 출간 2021.01.27),"12,690",9.3,건강/의학,건강/의학
핏블리 여성운동 전략집,9,핏블리(문석기),쇼크북스,2022.08.17 (종이책 출간 2022.08.08),"13,500",10,건강/의학,건강/의학
암또의 임상노트 Volume. 2,10,암또,포널스출판사,2021.04.13 (종이책 출간 2021.04.12),"20,160",9.9,건강/의학,건강/의학
한국전문소생술 4판,11,대한심폐소생협회,군자출판사,2021.11.09 (종이책 출간 2021.11.05),"9,000",8.2,건강/의학,건강/의학
유진홍 교수의 이야기로 풀어보는 감염학,12,유진홍,군자출판사,2019.09.11 (종이책 출간 2018.09.06),"18,900",10,건강/의학,건강/의학
핏블리의 다이어트 식단 전략집,13,핏블리(문석기),비타북스,2022.06.29 (종이책 출간 2022.06.10),"10,710",9,건강/의학,건강/의학
포널스 임상매뉴얼,14,한국간호대학남자교수회,포널스출판사,2020.01.08 (종이책 출간 2020.01.03),"15,750",9.9,건강/의학,건강/의학
포널스 임상매뉴얼 vol.2,15,간호사적응연구소,포널스출판사,2023.02.05 (종이책 출간 2023.02.05),"18,000",0,건강/의학,건강/의학
수련의부터 준비하는 Slow 개원전략 가이드북,16,박창범,군자출판사,2023.01.18 (종이책 출간 2023.01.10),"14,400",0,건강/의학,건강/의학
프셉마음 소화기 간호편,17,박근혜,드림널스,2022.09.20 (종이책 출간 2022.07.29),"21,600",10,건강/의학,건강/의학
프셉마음: 혈액검사 해석 및 간호편,18,이재왕,드림널스,2022.09.20 (종이책 출간 2022.08.19),"21,600",9.9,건강/의학,건강/의학
한형선 박사의 푸드닥터,19,한형선,헬스레터,2020.11.18 (종이책 출간 2020.01.28),"21,600",9.8,건강/의학,건강/의학
백년 목,20,정선근,사이언스북스,2018.08.07 (종이책 출간 2017.11.30),"10,800",9.7,건강/의학,건강/의학
인생을 바꾼 식사의 기적,21,김남희,북테이블,2021.12.08 (종이책 출간 2021.11.05),"10,584",9.6,건강/의학,건강/의학
프셉마음: 혈액종양내과 입문편,22,유미옥,드림널스,2020.04.03 (종이책 출간 2020.02.06),"20,880",9.7,건강/의학,건강/의학
EFT로 낫지 않는 통증은 없다,23,최인원,몸맘얼,2019.10.02 (종이책 출간 2018.04.20),"9,450",9.1,건강/의학,건강/의학
프셉마음: 외과편,24,이해성,드림널스,2022.01.17 (종이책 출간 2021.12.01),"20,880",10,건강/의학,건강/의학
셀프경락,25,정지은,책밥,2022.05.25 (종이책 출간 2021.08.24),"9,900",9.8,건강/의학,건강/의학
비만코드,26,제이슨 펑,시그마북스,2018.10.22 (종이책 출간 2018.10.20),"10,080",9.8,건강/의학,건강/의학
병의 90%는 걷기만 해도 낫는다,27,나가오 가즈히로,북라이프,2016.09.27 (종이책 출간 2016.09.26),"8,505",9.3,건강/의학,건강/의학
"마흔, 더 이상 살찌지 않는 식단",28,이지원,북폴리오,2021.11.15 (종이책 출간 2021.11.10),"10,080",8.9,건강/의학,건강/의학
근육이 연금보다 강하다,29,김헌경,비타북스,2019.07.30 (종이책 출간 2019.06.05),"9,270",9.5,건강/의학,건강/의학
헬스는 쪼렙입니다만,30,수피,한문화,2023.01.25 (종이책 출간 2023.01.05),"9,450",0,건강/의학,건강/의학
비만은 중독이다,31,한창우,미다스북스,2023.01.27 (종이책 출간 2021.06.30),"9,000",0,건강/의학,건강/의학
잠 못들 정도로 재미있는 이야기:자율신경계,32,고바야시 히로유키,성안당,2022.12.29 (종이책 출간 2023.01.11),"7,020",9.7,건강/의학,건강/의학
50부터 시작하는 하루 1분 기적의 스트레칭,33,사와키 가즈타카,카시오페아,2023.01.04 (종이책 출간 2022.12.15),"8,505",9.7,건강/의학,건강/의학
간호 알고리즘 1,34,간호사연구소,포널스출판사,2022.07.05 (종이책 출간 2022.07.05),"25,200",0,건강/의학,건강/의학
[30%▼]뇌내혁명+우뇌를 활용하는 뇌내혁명,35,하루야마 시게오,중앙생활사,2021.04.20,"13,545",10,건강/의학,건강/의학
최강의 식사 + 최강의 레시피 세트,36,데이브 아스프리,앵글북스,2018.10.29,"16,830",10,건강/의학,건강/의학
의료 AI 입문,37,야마시타 야스유키,양병원 출판부,2022.05.13 (종이책 출간 2022.05.13),"9,900",9.2,건강/의학,건강/의학
1일1식,38,나구모 요시노리,위즈덤하우스,2013.04.24 (종이책 출간 2012.09.10),"8,190",8.8,건강/의학,건강/의학
누구나 10kg 빠진다! 하루 두 끼 다이어트,39,양형규,양병원출판부,2021.01.14 (종이책 출간 2019.12.04),"9,450",10,건강/의학,건강/의학
비타민 C 항암의 비밀,40,하병근,페가수스,2019.06.21 (종이책 출간 2010.12.20),"8,505",9.8,건강/의학,건강/의학
몸 한의학으로 다시 태어나다,41,안세영,와이겔리,2013.11.20 (종이책 출간 2010.05.28),"17,100",10,건강/의학,건강/의학
생활단식 다이어트 & 건강법,42,백승헌,휴먼앤북스,2008.07.08 (종이책 출간 2004.06.25),"4,860",9.4,건강/의학,건강/의학
신비로운 마음과 몸의 치유력,43,노만 커진스,학지사,2017.08.01 (종이책 출간 1995.11.01),"3,600",0,건강/의학,건강/의학
