제목,저자,출판사,발매일,가격,평점,장르
청소년을 위한 서양미술사(개정판),도병훈,두리미디어,2007.12.22 (종이책 출간 2006.10.15),"8,100원",9.5,청소년
2023 LG그룹 온라인 인적성검사 최신기출유형+모의고사 6회+무료LG특강,SD적성검사연구소,시대고시기획,2023.03.10 (종이책 출간 2023.03.20),"13,230원",10,교재/수험서
매경TEST 공식 가이드,매일경제 경제경영연구소,매일경제신문사,2020.07.16 (종이책 출간 2020.05.15),"19,800원",9.4,교재/수험서
해커스 LG그룹 인적성검사 통합 기본서 최신기출유형+실전모의고사,해커스 취업교육연구소,챔프스터디,2023.01.03 (종이책 출간 2023.01.03),"19,710원",10,교재/수험서
2023 채용대비 하나은행 필기전형 Final 실전 봉투모의고사 7회분+무료NCS특강,SD적성검사연구소,시대고시기획,2023.02.15 (종이책 출간 2023.01.31),"11,340원",4.2,교재/수험서
2023 이슈&시사상식 2월호 + 오디오북 + 무료동영상,시사상식연구소,시대고시기획,2023.01.25 (종이책 출간 2023.01.25),"5,400원",10,교재/수험서
2023 NCS 직업기초능력평가 500제,타임 NCS 연구소,시스컴,2023.01.05 (종이책 출간 2023.01.05),"11,340원",0,교재/수험서
2023 대전광역시교육청 교육공무직원 소양평가 인성검사 3회+실전모의고사 7회+면접+무료공무직특강,SD적성검사연구소,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"13,860원",10,교재/수험서
청원경찰 일반상식 한권으로 끝내기(2021),김정민,서울고시각(SG P&E),2021.08.27 (종이책 출간 2021.03.30),"15,750원",10,교재/수험서
마이 물권법,김묘엽,로앤오더(LAW&ORDER),2021.05.17 (종이책 출간 2021.05.10),"14,400원",9.7,교재/수험서
2022 채용대비 아모레퍼시픽그룹 인적성검사 최신기출유형+모의고사 4회+무료인적성특강,SD적성검사연구소,시대고시기획,2022.04.01 (종이책 출간 2022.04.20),"15,120원",10,교재/수험서
2023 에듀윌 공기업 NCS 통합 봉투모의고사 7+4회,에듀윌 취업연구소,에듀윌,2023.01.05 (종이책 출간 2023.01.08),"15,795원",0,교재/수험서
2023 에듀윌 취업 기출 금융경제 상식,에듀윌 상식연구소,에듀윌,2022.08.11 (종이책 출간 2022.08.11),"22,050원",0,교재/수험서
2023 10기 모집대비 All-New 싸피 SSAFY(삼성 청년 SW아카데미) SW적성진단 5일 완성,SD적성검사연구소,시대고시기획,2023.03.20 (종이책 출간 2023.03.20),"13,860원",0,교재/수험서
2023 EBS 특강 공인노무사 1차시험 한권으로 끝내기,EBS 교수진,시대고시기획,2023.02.20 (종이책 출간 2023.02.20),"33,390원",10,교재/수험서
2023 All-New 코레일 한국철도공사 기술직 NCS&전공 봉투모의고사 7+6회분+무료코레일특강,NCS직무능력연구소,시대고시기획,2023.03.10 (종이책 출간 2023.03.10),"11,340원",10,교재/수험서
2023 최신시사상식 219집,박문각 시사상식 편집부,박문각,2023.01.05 (종이책 출간 2023.01.05),"6,300원",0,교재/수험서
2023 채용대비 All-New 현대자동차 고졸/전문대졸 생산인력 필기시험 한권합격,SD적성검사연구소,시대고시기획,2023.02.10 (종이책 출간 2023.02.10),"13,860원",10,교재/수험서
2023 기출이 답이다 LG그룹 온라인 인적성검사+무료LG특강,SD적성검사연구소,시대고시기획,2023.03.10 (종이책 출간 2023.03.10),"11,340원",10,교재/수험서
안쌤의 STEAM+창의사고력 수학 100제 초등 4학년,안쌤 영재교육연구소,시대고시기획,2023.03.03 (종이책 출간 2023.03.03),"10,710원",10,교재/수험서
2023년 대비 7급 행정법 (연도별 문제집),반달문,반달문,2022.12.15,"5,400원",0,교재/수험서
법학적성시험 문제 해설: LEET 언어이해2(2018~2013학년도),법학전문대학원협의회,에피스테메,2022.12.12 (종이책 출간 2022.11.30),"15,500원",10,교재/수험서
더빅스쿨 공기업 금융권-IT 디지털 전산학 스파르타300제 10일 단기완성,더빅스쿨 인적성 연구소,더빅스쿨,2023.01.02,"14,400원",0,교재/수험서
이훈영 교수의 마케팅 3판,이훈영,청람,2022.09.20,"35,100원",0,교재/수험서
2023 최신판 샘표식품 최신기출유형+모의고사 4회,SD적성검사연구소,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"13,860원",10,교재/수험서
상법기초,박승룡,한국방송통신대학교출판문화원,2017.02.27 (종이책 출간 2017.02.01),"14,400원",10,교재/수험서
집단상담의기초,장미경,한국방송통신대학교출판문화원,2022.09.01,"16,000원",0,교재/수험서
농업생물화학,고한종,한국방송통신대학교출판문화원,2020.02.19 (종이책 출간 2020.02.01),"22,500원",8.4,교재/수험서
사회보장법,김엘림,한국방송통신대학교출판문화원,2020.02.19 (종이책 출간 2020.02.01),"20,700원",0,교재/수험서
컴파일러구성,박두순,한국방송통신대학교출판문화원,2017.09.07 (종이책 출간 2017.09.06),"11,700원",10,교재/수험서
세무사 제1차 시험 기출문제집(2019),월간회계 편집실,회경사,2018.11.01 (종이책 출간 2018.10.16),"17,010원",7.5,교재/수험서
2022 코레일 한국철도공사 기계일반 적중예상문제집,박병호,서울고시각(SG P&E),2022.04.01 (종이책 출간 2022.03.20),"17,640원",0,교재/수험서
2023 대비 요약된 감정평가사 마이민법,김묘엽,로앤오더(LAW&ORDER),2022.06.20 (종이책 출간 2022.06.01),"8,100원",9.2,교재/수험서
SNS 광고마케터 1급 7일 단기완성,한국마케팅교육,시대고시기획,2022.07.25 (종이책 출간 2022.07.20),"11,340원",10,교재/수험서
2022~2023 파생상품투자권유자문인력 한권으로 끝내기,박선호,시대고시기획,2022.04.12 (종이책 출간 2022.04.05),"16,380원",10,교재/수험서
법무사 1차시험 민사집행법·상업등기법 및 비송사건절차법,법무사연구위원회,시대고시기획,2022.04.26 (종이책 출간 2022.05.04),"31,500원",10,교재/수험서
2022 최신판 All-New 한국전력공사 고졸채용 NCS 봉투모의고사 7회분+무료한전특강,NCS직무능력연구소,시대고시기획,2022.03.04 (종이책 출간 2022.04.20),"10,080원",10,교재/수험서
2023 해커스 현대자동차 생산인력·생산직 한권완성,해커스 취업교육연구소,챔프스터디,2023.02.15,"13,230원",0,교재/수험서
2023 에듀윌 소방공무원 파이널 적중 모의고사 소방학개론,이중희,에듀윌,2023.01.13,"14,400원",0,교재/수험서
행정학개론,권향원 외,대영문화사,2023.01.16,"26,100원",0,교재/수험서
2023 소방승진 위험물안전관리법,문옥섭,시대고시기획,2023.03.06 (종이책 출간 2023.03.06),"22,680원",10,교재/수험서
2023 신용분석사 1부 한권으로 끝내기+무료동영상,장홍석,시대고시기획,2023.03.06 (종이책 출간 2023.03.06),"15,120원",10,교재/수험서
2023 All-New NCS 지역농협 6급 필기시험 최신기출유형+모의고사 5회+무료NCS특강,SD적성검사연구소,시대고시기획,2023.03.20 (종이책 출간 2023.03.20),"15,120원",10,교재/수험서
2023 All-New 코레일 한국철도공사 사무직 NCS&전공 봉투모의고사 7+6회분+무료코레일특강,NCS직무능력연구소,시대고시기획,2023.03.10 (종이책 출간 2023.03.10),"10,710원",7.5,교재/수험서
2023 All-New 삼성 온라인 GSAT 4급 전문대졸 채용 최종모의고사 7회+무료4급특강,SD적성검사연구소,시대고시기획,2023.03.10 (종이책 출간 2023.03.10),"13,230원",10,교재/수험서
건건록 일본의 청일전쟁 외교비록,"무쓰 무네미쓰 저자 , 이용수 번역",논형,2023.01.10,"24,300원",0,교재/수험서
2023년 제34회 대비 공인중개사 민법 및 민사특별법 (핵심정리),반달문,반달문,2023.01.05,"6,300원",0,교재/수험서
2023년 대비 7급 행정법 (핵심정리),반달문,반달문,2022.12.15,"6,300원",0,교재/수험서
법학적성시험 문제 해설: LEET 추리논증2(2018~2013학년도),법학전문대학원협의회,에피스테메,2022.12.12 (종이책 출간 2022.11.30),"15,500원",10,교재/수험서
법학적성시험 문제 해설: LEET 추리논증1(2023~2019학년도),법학전문대학원협의회,에피스테메,2022.12.12 (종이책 출간 2022.11.30),"18,500원",10,교재/수험서
법학적성시험 문제 해설(별쇄): LEET 추리논증(2023학년도),법학전문대학원협의회,에피스테메,2022.12.12 (종이책 출간 2022.11.30),"6,500원",10,교재/수험서
법학적성시험 문제 해설: LEET 언어이해1(2023~2019학년도),법학전문대학원협의회,에피스테메,2022.12.12 (종이책 출간 2022.11.30),"18,500원",10,교재/수험서
법학적성시험 문제 해설(별쇄): LEET 언어이해(2023학년도),법학전문대학원협의회,에피스테메,2022.12.12 (종이책 출간 2022.11.30),"6,500원",10,교재/수험서
2023 공기업 NCS 직업기초능력+직무수행능력+면접 BASIC 통합기본서+무료NCS특강,NCS직무능력연구소,시대고시기획,2023.03.10 (종이책 출간 2023.03.10),"14,490원",10,교재/수험서
2023년 대비 7급 행정학 (연도별 문제집),반달문,반달문,2022.12.10,"5,400원",0,교재/수험서
2023 NCS 직업기초능력평가 통합기본서,타임 NCS 연구소,시스컴,2023.01.05 (종이책 출간 2023.01.05),"10,710원",0,교재/수험서
2023 기출이 답이다 세무사 1차 회계학개론 9개년 기출문제해설집,한동진,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"13,860원",10,교재/수험서
면접관이 공개하는 장교/부사관 면접 합격의 공식,SD적성검사연구소,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"14,490원",0,교재/수험서
2023 hoa 기출유형으로 3주만에 합격하는 회계관리 1급 한권으로 끝내기,김경태,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"14,490원",10,교재/수험서
2023년 대비 감정평가사 객관식 마이민법,김묘엽,로앤오더(LAW&ORDER),2022.11.08 (종이책 출간 2022.11.08),"24,300원",10,교재/수험서
2023 컨벤션기획사 2급 필기 한권으로 끝내기,김진균,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"23,940원",10,교재/수험서
세무사 제2차시험 기출문제집(2023),월간회계 편집실,회경사,2022.10.25 (종이책 출간 2022.10.18),"16,092원",10,교재/수험서
만화로 시작하는 해커스 공인중개사,해커스 공인중개사시험 연구소,해커스공인중개사,2022.09.02 (종이책 출간 2020.08.18),"11,700원",10,교재/수험서
2023 손해사정사 1차 시험 8개년 기출문제해설,김명규,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"15,120원",10,교재/수험서
2023 NCS 모듈형+PSAT형+피듈형 통합기본서+무료NCS특강,NCS직무능력연구소,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"13,860원",10,교재/수험서
세계의역사,이혜령,한국방송통신대학교출판문화원,2017.02.21 (종이책 출간 2017.02.01),"16,200원",10,교재/수험서
2022 최신판 반드시 합격하는 농협면접: 통합편 - 농협은행·농협중앙회·지역농축협 대비서,혼JOB취업연구소,커리어빅,2021.12.06,"9,000원",10,교재/수험서
생활폐기물관리,이채영,한국방송통신대학교출판문화원,2020.02.19 (종이책 출간 2020.02.01),"12,600원",10,교재/수험서
인공지능,이광형,한국방송통신대학교출판문화원,2018.08.29 (종이책 출간 2018.08.28),"11,700원",10,교재/수험서
식용작물학Ⅱ,류수노,한국방송통신대학교출판문화원,2017.05.25 (종이책 출간 2017.02.01),"15,300원",10,교재/수험서
우선순위 기초 영단어,안용덕,비전,2010.01.05,"6,120원",9.5,교재/수험서
컨설팅 커리어 가이드,에릭 정,3MECCA.COM,2007.11.14 (종이책 출간 2006.10.17),"4,680원",0,교재/수험서
강성태 영단어 어원편 (멀티eBook),강성태,키출판사,2018.11.30 (종이책 출간 2017.12.20),"12,420원",9.5,교재/수험서
취업을 위한 일본어,스미 유리카,다락원,2014.01.04 (종이책 출간 2013.09.02),"8,190원",7.5,교재/수험서
"공중보건학(1학기, 워크북포함)",윤병준,한국방송통신대학교출판문화원,2022.02.28 (종이책 출간 2022.01.25),"17,000원",10,교재/수험서
원예작물학2,김태성,한국방송통신대학교출판문화원,2021.03.04 (종이책 출간 2021.01.25),"19,000원",10,교재/수험서
세계의 정치와 경제,강수돌,한국방송통신대학교출판문화원,2017.02.23 (종이책 출간 2014.01.22),"11,700원",10,교재/수험서
원예학,문원,한국방송통신대학교출판문화원,2017.02.23 (종이책 출간 2014.01.22),"16,200원",10,교재/수험서
2022년도 1차 산업안전지도사 기출문제 해설 (전과목),우슬초,유페이퍼,2022.08.09,"2,700원",0,교재/수험서
2022 굴삭기(굴착기) 운전기능사 필기 기출복원+모의고사,시스컴자격시험연구소,시스컴,2022.02.08 (종이책 출간 2022.03.05),"7,560원",8.8,교재/수험서
2022~2023 펀드투자권유자문인력 한권으로 끝내기,유창호,시대고시기획,2022.05.24 (종이책 출간 2022.06.03),"16,380원",10,교재/수험서
2022~2023 증권투자권유자문인력 한권으로 끝내기,유창호,시대고시기획,2022.05.02 (종이책 출간 2022.05.04),"16,380원",10,교재/수험서
변리사 자연과학개론 한권으로 끝내기,이윤희,시대고시기획,2022.05.06 (종이책 출간 2022.06.03),"30,870원",8.5,교재/수험서
변리사 민법개론 한권으로 끝내기,김동진,시대고시기획,2022.04.11 (종이책 출간 2022.04.15),"28,350원",10,교재/수험서
2022 All-New 한국전력공사 고졸채용 최신기출+NCS+모의고사 6회+무료한전특강,NCS직무능력연구소,시대고시기획,2022.02.22 (종이책 출간 2022.03.30),"15,120원",8.5,교재/수험서
2022 All-New 한전KPS 별정직 채용 NCS+최종점검 모의고사 5회+무료NCS특강,NCS직무능력연구소,시대고시기획,2022.02.28 (종이책 출간 2022.03.10),"13,860원",10,교재/수험서
변리사 디자인보호법 한권으로 끝내기,유시훈,시대고시기획,2021.10.06 (종이책 출간 2021.11.05),"22,680원",10,교재/수험서
[전진] 세무사 1차 조문과 기출[상법](2023),성암법학연구소,로리뷰,2022.07.05,"8,100원",0,교재/수험서
중학생이 꼭 알아야 할 고사성어와 사자성어,강준린,북아띠,2021.11.16,900원,0,교재/수험서
2021년 대비 7/9급 형법 (핵심정리),반달문,반달문,2020.10.19,"4,950원",0,교재/수험서
환경과 대체에너지,한선기,한국방송통신대학교출판문화원,2016.08.16 (종이책 출간 2016.08.01),"11,700원",10,교재/수험서
"보건행정(2학기, 워크북포함)",이준협,한국방송통신대학교출판문화원,2022.08.29 (종이책 출간 2022.07.25),"14,000원",0,교재/수험서
"컴퓨터의이해(1학기, 워크북포함)",김강현,한국방송통신대학교출판문화원,2022.03.02 (종이책 출간 2022.01.25),"23,000원",10,교재/수험서
원격대학교육의이해(1학기),이동주,한국방송통신대학교출판문화원,2022.03.02 (종이책 출간 2022.01.25),"7,000원",10,교재/수험서
"보건의사소통(2학기, 워크북포함)",정영일,한국방송통신대학교출판문화원,2021.09.06 (종이책 출간 2021.07.25),"11,000원",10,교재/수험서
마이 민법총칙,김묘엽,로앤오더(LAW&ORDER),2021.05.17 (종이책 출간 2021.05.10),"12,600원",9.8,교재/수험서
2023 기술직 공무원 물리 한권으로 끝내기,임정,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"13,860원",10,교재/수험서
2024 유튜브와 함께하는 사관학교 10년간 기출문제 다잡기 영어영역,SD특수대학연구소,시대고시기획,2022.11.25 (종이책 출간 2023.01.05),"13,860원",10,교재/수험서
2023 A+ 독학사 1단계 교양과정 스피드 단기완성 심리학개론,독학학위연구소,시대고시기획,2023.01.25 (종이책 출간 2023.01.25),"11,970원",10,교재/수험서
2023 All-New SKCT SK그룹 온라인+오프라인 통합 종합역량검사 봉투모의고사 5+2+1+4회+무료SK특강,SD적성검사연구소,시대고시기획,2023.03.10 (종이책 출간 2023.03.10),"11,340원",10,교재/수험서
